Message,MessageDate
"Just do intervals 1 minute on 2 minutes walk or run until your just below the end of your zone 2... (heart rate will float up as you slow down) 
An then once your at the lower range pace walk. Or jog.",2025-10-23 18:05:31
"For me, it felt like it kept my hips square",2025-10-27 16:36:50
Hey team. Whats the break down of the metcons,2025-10-27 20:54:09
Loved it.,2025-10-29 06:25:24
"Your not really meant to feel anything with the band, but with & without. I noticed my hips were squared up. Which definitely puts more load in the hammies then the QL/lowerba ck",2025-11-07 04:10:02
How wow... Saxon side bends!! That's proper old skool,2025-11-15 02:48:49
"Wasn't able to train much last week. 

& my lowerback was playing up. Bam. Trained yesterday & back sore no more. 

It was definitely jason Browns training",2025-11-17 18:36:20
"Hey guys. 

What ive never used a FB bar for this, should I just build to a moderate set of 6?",2025-11-18 21:16:28
Rings or a similar pattern with DB,2025-11-19 18:20:07
"Agreed. I was really surprised i got 22,16,12😅😅😅😅",2025-11-21 17:29:45
Separate them as much as you can so you dont get any interference,2025-12-17 18:20:08
Spoto t,2025-12-24 16:36:40
Whats a sub for trx hamstring curls,2025-12-28 23:14:27
"What if Immy  new gyn, doesn't have a decent hard box",2026-01-11 18:36:00
I usually only go to 92ish %,2026-02-05 03:42:14
Nope do which ever one is more important to you.,2026-02-17 06:00:03
Nano lover here,2026-02-19 06:02:54
How does the flow of this session g9,2026-03-16 23:25:11
Whoop. It just seems to be the best thus far I've used. Amazfit looks to be promising,2026-04-01 19:53:10
I cant see any training 🤣🤣,2026-05-18 22:25:01
I cant see any training at all,2026-05-18 22:25:53
Hey Jason can yoi see this,2026-05-18 22:57:54
I cant see any of the full access,2026-05-18 22:59:22
All sorted. I had training hidden lol,2026-05-19 23:21:47
"Hi everybody. After having Jason's help finding training i cannot see it lol. 

So im thinking of hitting...
2 x fullbody mon/thur 
2 x Conditioning tues/fri 
1 skill muaythai class Saturday. 

Is that split reasonable? 
I do approximately 15k steps 5 x days a week.",2026-05-19 23:29:45
"Terrible mate. I haven't been going. 

My gym closes down. So I should basically been. Trying to find my footing again",2026-05-22 21:12:03
If you google jason brown all accessories its comes up,2026-05-24 18:24:55
Feels so good to be back on a good programme,2026-05-27 06:15:45
Lovereerrr the new programming,2026-05-28 00:50:09
Trying to find the Finishers. Ant help on thst,2026-05-28 19:51:58
I might just end up following szns,2026-05-28 20:31:09
Hey Jason. Will SZNs always be 3x lifting days,2026-05-29 05:45:00
"Hi Jason, I see 45s bike sprint.  Is it more of  moderate hard effort? (As it says 7.5 rpe)",2026-05-29 07:47:25
Will szns always be 3x lofting days?,2026-05-29 19:21:43
Thank you guys.,2026-05-29 19:23:36
"Hi Jason im so sorry for asking a repeated question. 

But I've looked everywhere for it. But cannot find it. 

Szn 3x lifting days? Because its exactly how i want to train",2026-05-29 20:07:08
Thank you sir!! Man super happy to be here!!!,2026-05-29 20:09:06
Hell yeh dude. Another Aussie here,2026-05-30 04:28:35
Do separately.,2026-06-04 22:22:17
"Pushing blood for joints. 

I love tricep pushdowns. They blow my Triceps up with zero soreness",2026-06-07 20:12:29
"My jesus. I haven't lifted in 5 weeks.. i had to settle it at 5 sets 🤣🤣

My glutes....",2026-06-08 04:47:47
Dropped from 3x to this. Doing aerobic work Tuesday & Friday,2026-06-11 04:36:00
"@jason brown said to post here. 

So this is more of our moderate days. But would it be okay if I hit this at rpe 3-4? As im just not aerobically there to hit moderate for time. 

My gym decided to chuck out all their KB... so replacement for the  KB rotational press?",2026-07-06 23:16:28
I worked upto 140 x 3 last week then 145 x2 this week. Tried 150 on the ....yeh I nearly died lol,2026-07-15 18:33:35
What can I sub for the board? Would a pussy pad be okay?,2026-07-16 00:19:03
